tool	metric	added_percent_original	duplicate_percent_final	n	mae	mae_ci_lo	mae_ci_hi	signed_bias	delta_mae_vs_control	delta_ci_lo	delta_ci_hi
magicc_v5	completeness	0.0	0.0	80	4.397745846650198	3.1257360901751228	5.994717889426427	-0.5893305445341928	0.0	0.0	0.0
magicc_v5	contamination	0.0	0.0	80	2.7213376252704924	2.007526859532776	3.5970805613376804	1.0265659328549737	0.0	0.0	0.0
magicc_v5	completeness	5.0	4.761904761904762	80	5.373125338768871	4.107242133648002	6.923529763730387	2.4307174429658067	0.9753794921186729	0.21149404661430363	1.741184355387109
magicc_v5	contamination	5.0	4.761904761904762	80	2.9838707118441077	2.251188805042781	3.917386267168594	1.5512539542299735	0.2625330865736154	-0.1065054749500875	0.6619531152470045
magicc_v5	completeness	10.0	9.09090909090909	80	7.670244138640953	6.214093628824391	9.228338478275122	5.200382455465807	3.272498291990753	1.922462422816511	4.631316714215453
magicc_v5	contamination	10.0	9.09090909090909	80	4.280115650262303	3.2521660367873526	5.4211863983636	2.712808839904974	1.5587780249918108	0.795009648781812	2.416062396915828
magicc_v5	completeness	20.0	16.666666666666668	80	12.167034784703878	10.621002431002697	13.818421227028585	8.455924530465808	7.76928893805368	5.825787421129978	9.618438107529466
magicc_v5	contamination	20.0	16.666666666666668	80	7.913360469213815	5.738482998896256	10.284667842600356	6.666835416479974	5.192022843943322	3.156306269218547	7.608679048642749
magicc_v5	completeness	40.0	28.571428571428573	80	15.985403298633102	14.07068071529592	17.900179432600062	11.287166967965808	11.587657451982903	8.78815999438026	14.099986294580177
magicc_v5	contamination	40.0	28.571428571428573	80	19.329862416178624	15.372639425109032	23.529090377447343	18.497977737354972	16.608524790908135	12.540219994312663	20.65957708987815
checkm2	completeness	0.0	0.0	80	5.107522974600526	4.000994448449645	6.442770848652101	2.661093880465807	0.0	0.0	0.0
checkm2	contamination	0.0	0.0	80	4.328716433512051	3.224156044825166	5.51726031915814	-3.4967135471450264	0.0	0.0	0.0
checkm2	completeness	5.0	4.761904761904762	80	5.2671243677615935	4.092493286645419	6.5325255313689885	2.6347188804658073	0.1596013931610673	-0.1377351661554769	0.46570696908242243
checkm2	contamination	5.0	4.761904761904762	80	4.9293542752993975	4.052401781924783	5.877087191770914	0.6270364528549737	0.6006378417873457	-0.2629745311440968	1.447647461334439
checkm2	completeness	10.0	9.09090909090909	80	5.115181504837963	3.937727661850759	6.360358496158075	2.659843880465807	0.007658530237436701	-0.3850281691675355	0.43845296034348924
checkm2	contamination	10.0	9.09090909090909	80	6.856922997357879	5.972619122442555	7.851664179268737	4.6324114528549725	2.528206563845828	1.1287044600176357	3.945990377024246
checkm2	completeness	20.0	16.666666666666668	80	5.196040839304475	3.9975310592658118	6.384578165494253	2.0748438804658074	0.08851786470394858	-0.459280925303122	0.6474078966203719
checkm2	contamination	20.0	16.666666666666668	80	12.016780497435745	10.653051495622515	13.41610258718141	11.071786452854974	7.688064063923693	5.489368063989659	9.872372018270788
checkm2	completeness	40.0	28.571428571428573	80	5.51969562330119	4.350071101548461	6.796847429427706	1.4913438804658063	0.4121726487006631	-0.43735675945401226	1.2525239530190773
checkm2	contamination	40.0	28.571428571428573	80	22.82666099610716	20.769601461316643	24.97244095130484	22.780161452854973	18.497944562595116	15.682265309273923	21.36169867605422
cocopye	completeness	0.0	0.0	80	4.380311274024051	3.3461162916881797	5.586678559840608	-0.973812845592548	0.0	0.0	0.0
cocopye	contamination	0.0	0.0	80	2.8627637948542266	2.2411844236670713	3.574221042118669	0.46744492144702976	0.0	0.0	0.0
cocopye	completeness	5.0	4.761904761904762	80	4.444258973670371	3.4265715374868613	5.7080041628030695	-0.9270802301377895	0.06394769964632001	-0.1549040102702103	0.2713559257353048
cocopye	contamination	5.0	4.761904761904762	80	4.830395876748492	4.0368915345223675	5.629004468240922	3.7186567385475855	1.967632081894265	1.2474669769816358	2.733404030015415
cocopye	completeness	10.0	9.09090909090909	80	4.882186706589442	3.775504191804884	6.084492171000136	-1.117321036421555	0.5018754325653914	0.08713769465296062	0.9376633334833474
cocopye	contamination	10.0	9.09090909090909	80	8.579629515142576	7.239947407435897	9.975679532579774	7.841690420507275	5.716865720288349	4.3715403393239205	7.215990694764066
cocopye	completeness	20.0	16.666666666666668	80	5.1647841562214705	4.049588903923963	6.423886566290984	-0.8996438563768503	0.7844728821974196	0.2925843363021771	1.2933037449947162
cocopye	contamination	20.0	16.666666666666668	80	14.716063299339856	12.481234200759625	16.971788678417	14.645556243241884	11.853299504485628	9.543661880039247	14.29416287791853
cocopye	completeness	40.0	28.571428571428573	80	4.8908733352629845	3.7289016488354036	6.197779818063067	0.6424825746537682	0.5105620612389332	-0.1953020462616263	1.2024553452750468
cocopye	contamination	40.0	28.571428571428573	80	32.5681121175064	29.40958247944279	35.69056984652156	32.5681121175064	29.705348322652174	26.716974164656012	32.724273403244396
deepcheck	completeness	0.0	0.0	80	5.90715981971122	4.704262019377102	7.309138467393031	1.4846396873505736	0.0	0.0	0.0
deepcheck	contamination	0.0	0.0	80	5.177947928556979	3.943467615325322	6.540290277566502	-4.887655757245618	0.0	0.0	0.0
deepcheck	completeness	5.0	4.761904761904762	80	5.835979300731252	4.653955575857693	7.1449047774203285	1.4878997276337764	-0.07118051897996658	-0.19629944243101471	0.04414270649534129
deepcheck	contamination	5.0	4.761904761904762	80	5.035818523788666	4.145407926264725	6.016249794770102	-1.0098909384282408	-0.142129404768314	-0.9167072568990504	0.6644374817906724
deepcheck	completeness	10.0	9.09090909090909	80	6.073642665141653	4.887870319937477	7.3878380989226216	1.3160891960175658	0.16648284543043435	-0.020503714268610383	0.3636041096504951
deepcheck	contamination	10.0	9.09090909090909	80	6.401835701682794	5.542817694552225	7.2345444556847385	2.907272154773575	1.223887773125813	-0.23452464747975757	2.6146113094473113
