dataset	distance_rank	detection_slope	slope_lo	slope_hi	n
marine	species	0.24547484484858978	-0.03461863308564652	0.5131751426010025	195
marine	genus	0.7288854769452446	0.09196973406246396	0.9080987049027658	146
marine	family	0.6466131726993259	0.3689881111925791	0.7724509603932274	168
marine	order	0.9183280518783514	0.7507445639904065	1.1694373030829155	146
marine	class	0.8821265486569538	0.7031726175906395	1.0167643164310627	161
marine	phylum	1.0734074907848985	0.9675932026896674	1.2010973134968657	170
strain_madness	species	0.3691990102922182	0.26392808651624416	0.4750458135281755	375
strain_madness	genus	0.43505430682102086	0.320768907130083	0.5467029775110881	375
strain_madness	family	0.9389990245756761	0.8488557304719415	1.0228083985120273	375
strain_madness	order	1.0193119221135358	0.9712922146783655	1.0622267543143635	375
strain_madness	class	1.0556078294951512	1.0275479341162268	1.0852317137275262	375
strain_madness	phylum	1.040369377606078	1.0070325497779626	1.0812830310419108	375
