dataset	completeness_band	tool	n	comp_mae	comp_bias	cont_mae	cont_bias	r2_note	denominator
marine	80-90	CoCoPyE	54	12.89882814422401	4.43822546101384	19.76281792916939	19.76281792916939	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	80-90	DeepCheck	54	29.267772232100747	-29.267772232100747	4.942908211990639	4.942908211990639	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	80-90	MAGICC_V5	54	10.352301249199884	-6.159729603951781	0.9997186492265222	0.9997186492265222	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	90-95	CheckM2	37	33.84597269426572	-33.84597269426572	3.7864864864864862	3.7864864864864862	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	90-95	CoCoPyE	37	14.831925755075295	-5.868117588426767	13.20581754421346	13.20581754421346	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	90-95	DeepCheck	37	34.63726679835211	-34.63726679835211	4.267621620281322	4.267621620281322	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	90-95	MAGICC_V5	37	18.200404522846064	-12.872358829400856	0.8462754284782893	0.8462754284782893	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	95-100	CheckM2	146	22.274519306846948	-21.980497368693804	1.5536301369863013	1.5536301369863013	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	95-100	CoCoPyE	146	9.11821670539479	-7.397218451185964	3.2612636962737835	3.2612636962737835	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	95-100	DeepCheck	146	20.146074060517268	-20.146074060517268	1.792828231641691	1.699800098187303	contamination R2 omitted: truth is exactly 0 for every pure gold-standard bin, so SS_tot = 0 (R1-m19)	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
