dataset	tool	distance_rank	n	n_clusters	cont_bias	cont_bias_lo	cont_bias_hi	cont_mae	cont_mae_lo	cont_mae_hi	comp_bias	comp_bias_lo	comp_bias_hi	comp_mae	comp_mae_lo	comp_mae_hi	slope	slope_lo	slope_hi	cont_r2	denominator
marine	CheckM2	species	195	94	-11.094969093690171	-13.103967139413001	-9.32196326064428	11.597459454656905	9.97045647848156	13.452266840952191	-48.9614013198491	-58.0927981626917	-40.11093379322067	50.0686857887348	41.53182376563719	58.774187392844254	0.31406499737224913	-0.062492806309640964	0.6707819391604145	-0.890993569760749	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CheckM2	genus	146	75	-4.442796020341306	-5.452951422700103	-3.499340539574359	5.261323254138971	4.439596528040951	6.111450914049773	-4.391060315988388	-6.252648764561113	-2.753139705937462	7.211830484753515	5.9806049620979	8.656311926728108	0.6733515708811031	0.32291117787249773	0.770574165234018	0.58373504306679	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CheckM2	family	168	85	-4.995426910951586	-5.943546926073993	-4.104504747204421	5.787590952047465	5.046811505696641	6.61866744402566	-4.966512892783802	-6.760170857044326	-3.458381393702172	7.461634038528026	6.285419087117303	8.871041328083848	0.7051992383176667	0.2520320600293627	0.8779364907364966	0.4301724563257665	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CheckM2	order	146	69	-4.313780402889957	-5.339637895063497	-3.2454854902472117	5.670218813636839	4.702359069131911	6.682258685945115	-1.7994296433528265	-3.4869351263589707	-0.08620322313566542	6.0672663733186445	4.993184395852455	7.319878983769808	0.8084119893474047	0.3414242679754369	1.0276078326297842	0.21865506689168868	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CheckM2	class	161	90	-5.934567090211123	-6.818648252847202	-5.063897122370824	6.918765377307279	6.104216832792627	7.711422967568748	-3.3920187853484474	-5.343261834998085	-1.6331764054743951	8.087487759815438	6.856000881673684	9.44112850805876	0.5492101704925706	0.23955099747698	0.8327636947246422	-0.1542614519455956	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CheckM2	phylum	170	96	-5.63642079879767	-6.548295890353726	-4.7647474758723565	6.400019732871094	5.639196852403256	7.247676928845482	-3.4373365205641346	-5.25278821080233	-1.8822793768922568	7.411426199536965	6.302998912996738	8.635332377872238	0.37354725427261914	0.22607104741811185	0.4884091690233062	-0.12286236642874848	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CoCoPyE	species	195	94	-5.86846193878804	-9.12863611706713	-2.442726459176254	14.741160259001175	13.545288071509036	15.977890189057534	-10.498003688113899	-14.128025852696657	-7.013179207094975	15.392508517522327	12.971404646758206	17.967041329436885	-0.06289952038337153	-0.4236804556402323	0.14678023663539977	-1.5343385297390566	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CoCoPyE	genus	146	75	10.45010042559249	7.822817308845397	12.634592265342828	12.235835325613337	10.551279440558037	14.382828868592345	6.069866728801996	4.905591491554128	7.446136365701826	6.775936247191188	5.802693599871848	7.942105987035969	0.2827484095050933	0.12994716639301876	0.8560817404152128	-0.8530321079702803	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CoCoPyE	family	168	85	10.096107243865202	8.182136067319735	11.983606919837898	11.860973393659206	10.324734561153164	13.379256604676739	6.92071385123382	5.637745518482516	8.439415314346359	7.454195867493752	6.277301400018198	8.853980811220955	0.3405511143944316	0.20394313351872587	0.7387110912728241	-1.1984557464369083	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CoCoPyE	order	146	69	8.395905764853069	6.751956297203835	10.135314999235751	9.833161816750367	8.496314957318594	11.283813898588798	4.443191297472952	3.427367437634273	5.634471468852074	5.2177377311441075	4.275712248842419	6.3310147015232	0.4818999251058953	0.3382205940426924	0.7490797834539219	-0.7632296967903311	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CoCoPyE	class	161	90	9.863576074358255	8.354485799931979	11.418162597093943	10.752266752247623	9.514964736276932	12.15769230441692	6.758100864437024	5.571614868304949	8.025201759003536	7.143000752780168	6.061600617909603	8.308567311276182	0.46725841933262463	0.3391749175724814	0.648084211605312	-1.4135121946851017	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CoCoPyE	phylum	170	96	10.09167474822609	8.66632543768273	11.509649325596799	10.972445252978094	9.806629535883715	12.200606078196667	6.4613488840110245	5.492970005075681	7.547079991447823	6.7376702702193105	5.826207421408446	7.758233919955727	0.4287249056577795	0.26089180268745993	0.6665343107895131	-1.6211330237881114	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	DeepCheck	species	195	94	-9.185664375962974	-11.048740617055621	-7.416632046611716	9.888228446152361	8.390804726160944	11.517567902590619	-41.72089082845349	-48.519660717632355	-34.21631687161549	42.4134736810392	35.2145747506362	48.95813523335827	0.5231375006328809	-0.005965464296042287	1.0315464451045244	-0.5275072295664918	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	DeepCheck	genus	146	75	-4.659615977484945	-5.763622122756782	-3.419684481253292	5.767755891368613	4.842809360305261	6.708477538318793	-6.620928809264488	-8.816666093709474	-4.627862004147171	9.12525041112513	7.651539971371563	10.834567688424002	0.9744319770593223	0.25404259301326926	1.1892940527005462	0.5290712107386285	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	DeepCheck	family	168	85	-5.639218710635243	-6.582356762844782	-4.766546229823459	6.165563447998388	5.405464837578241	7.011997370783344	-7.531009211055983	-9.678771523048615	-5.561746972136452	9.655852549925442	8.210910496685658	11.4045081466166	0.6727685706127048	0.2520440310827758	0.813412881798402	0.3772008194367381	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	DeepCheck	order	146	69	-5.1914438261946465	-6.075354644764537	-4.230561925322288	5.95287540474064	5.136665037583973	6.808804033161024	-3.2946363173799416	-5.541648187562504	-1.2132695959988045	7.4575733963691055	6.053787130788835	9.024011821410705	0.7204453293561449	0.2805089363974108	0.9575975985809274	0.2176618971835036	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
