cohort	tool	tool_key	n	n_clusters	cluster_unit	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_r2	comp_r2_pearson	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_r2	cont_r2_pearson	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd	r2_min_truth_sd_pp	comp_r2_interpretable	cont_r2_interpretable	denominator	note	panel	assembly	n_panel_organisms	assembly_median_bin_n50	assembly_contigs	orf_integrity_compromised
balanced_panel_comp>=50_leakage_free|s5	DeepCheck	deepcheck	14	14	accession	6.4156	3.2747	10.0323	-5.2076	-9.3015	-1.5445	8.9396	-1.5311	0.7584	1.8901	1.0291	2.9388	1.6702	0.6684	2.8346	2.6343	-10.4468	0.3443	92.637	0.9038	5.831	0.808	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	s5	14	6522	11462	False
balanced_panel_comp>=50_leakage_free|proton	MAGICC V5	magicc	14	14	accession	5.3516	3.1211	7.5911	4.1904	1.2488	7.0169	6.875	-0.3386	0.2386	0.5237	0.2721	0.8454	0.0982	-0.2704	0.5118	0.7778	-2.3809	0.0151	92.128	0.6836	6.167	0.439	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	proton	14	5244	12130	False
balanced_panel_comp>=50_leakage_free|proton	CheckM2 1.0.1	checkm2	14	14	accession	6.2725	3.5748	9.4307	-4.4235	-8.3885	-0.9118	8.2716	-0.9377	0.7665	3.4107	2.4286	4.4179	3.4107	2.4286	4.4179	3.911	-84.4816	0.4932	92.128	0.6836	6.167	0.439	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	proton	14	5244	12130	False
balanced_panel_comp>=50_leakage_free|proton	CoCoPyE 0.5.0	cocopye	14	14	accession	4.0788	2.0465	6.2719	4.0644	2.037	6.2719	5.7413	0.0665	0.544	15.686	8.5609	23.7852	15.686	8.5609	23.7852	21.1451	-2497.6898	0.2088	92.128	0.6836	6.167	0.439	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	proton	14	5244	12130	False
balanced_panel_comp>=50_leakage_free|proton	DeepCheck	deepcheck	14	14	accession	8.1597	4.3831	12.4381	-7.9721	-12.3652	-4.1285	11.0564	-2.462	0.7571	2.079	1.1657	3.0737	2.0677	1.1392	3.069	2.7481	-41.2041	0.455	92.128	0.6836	6.167	0.439	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	proton	14	5244	12130	False
balanced_panel_comp>=50_leakage_free|mgiseq_2000	MAGICC V5	magicc	14	14	accession	4.4308	2.6133	6.2495	3.3505	0.9589	5.7135	5.6271	0.4622	0.6529	0.683	0.3101	1.1011	0.683	0.3101	1.1011	1.0411	-155.0376	0.0092	92.854	0.0578	7.963	0.0865	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	mgiseq_2000	14	2231	23092	False
balanced_panel_comp>=50_leakage_free|mgiseq_2000	CheckM2 1.0.1	checkm2	14	14	accession	5.252	2.7425	8.2059	-1.9965	-6.097	1.56	7.4279	0.0629	0.882	3.1493	1.7087	4.7623	3.1493	1.7087	4.7623	4.3058	-2667.9729	0.4294	92.854	0.0578	7.963	0.0865	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	mgiseq_2000	14	2231	23092	False
balanced_panel_comp>=50_leakage_free|mgiseq_2000	CoCoPyE 0.5.0	cocopye	14	14	accession	5.2902	2.7854	8.3979	5.2902	2.7854	8.3979	7.4859	0.0483	0.8119	11.0597	4.5721	18.2341	11.0593	4.5718	18.2341	16.6467	-39891.1936	0.5416	92.854	0.0578	7.963	0.0865	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	mgiseq_2000	14	2231	23092	False
balanced_panel_comp>=50_leakage_free|mgiseq_2000	DeepCheck	deepcheck	14	14	accession	6.8327	2.9719	11.1241	-5.2778	-10.3694	-0.9022	10.1431	-0.7473	0.865	2.4043	1.1561	3.7803	2.319	1.0119	3.7202	3.4259	-1688.5968	0.4947	92.854	0.0578	7.963	0.0865	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	mgiseq_2000	14	2231	23092	False
balanced_panel_comp>=50_leakage_free|mgiseq_t7	MAGICC V5	magicc	14	14	accession	4.6682	2.9572	6.4168	3.2773	0.7617	5.7127	5.7213	0.6708	0.7807	0.6944	0.3414	1.0777	0.6944	0.3414	1.0777	1.0137	-187.4059	0.0094	92.084	0.0489	10.347	0.0766	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	mgiseq_t7	14	1645	23794	False
balanced_panel_comp>=50_leakage_free|mgiseq_t7	CheckM2 1.0.1	checkm2	14	14	accession	5.4113	2.7157	8.7583	-2.7543	-6.91	0.8072	7.7748	0.392	0.9181	2.2611	1.2287	3.4123	2.2611	1.2287	3.4123	3.0738	-1731.2477	0.2074	92.084	0.0489	10.347	0.0766	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	mgiseq_t7	14	1645	23794	False
balanced_panel_comp>=50_leakage_free|mgiseq_t7	CoCoPyE 0.5.0	cocopye	14	14	accession	6.2002	2.9507	10.6396	6.2002	2.9507	10.6396	9.6603	0.0613	0.7842	10.2605	4.325	16.6787	10.26	4.325	16.6787	15.2576	-42678.7947	0.4234	92.084	0.0489	10.347	0.0766	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	mgiseq_t7	14	1645	23794	False
balanced_panel_comp>=50_leakage_free|mgiseq_t7	DeepCheck	deepcheck	14	14	accession	6.1636	2.6429	10.345	-4.7447	-9.5614	-0.7012	9.4326	0.1051	0.9199	1.737	0.7561	2.8012	1.6514	0.6447	2.7668	2.5923	-1230.9927	0.5777	92.084	0.0489	10.347	0.0766	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_comp>=50_leakage_free	mgiseq_t7	14	1645	23794	False
